feature,importance
AP005131.7,0.0016323433
ECPAS,0.0015956464
SPRYD3,0.00137383
HSD17B6,0.0013667702
ZCCHC24,0.001135676
RNF25,0.0011046503
GAB2,0.0010880408
AC104113.1,0.0010845857
AP003120.1,0.0010711756
AL132639.2,0.001064373
FLYWCH1,0.0010482366
DLG3,0.001036152
AC114271.1,0.0010226428
ADSSL1,0.0009918193
WASF3,0.0009029779
AL133477.2,0.00089411257
WDR91,0.00085875683
CPNE7,0.0008520893
GPR137,0.0008294139
SLX4IP,0.0008076976
ATXN1,0.0008057552
SLC12A2,0.00079080043
RAD9A,0.00078262185
POMT1,0.000761941
AC109446.3,0.000743709
FBXL15,0.00074079173
EFNB1,0.00073438906
ALAS1,0.00072416815
FAM168B,0.00071696757
SERINC2,0.00070775044
AC079922.2,0.0007061949
MEF2D,0.0007045965
KLHL12,0.000704535
AREL1,0.000703285
LINC02470,0.00070322474
TANC1,0.000686432
SAMHD1,0.0006767826
PROCA1,0.000676095
IPPK,0.0006751594
MIR503HG,0.0006685048
Z98885.3,0.0006598686
CLEC12A,0.00065641856
MARS2,0.0006553258
LDLRAD3,0.00065142394
URB1-AS1,0.0006480144
SLC35B3,0.00063927274
HIST1H4B,0.0006392399
ITPR3,0.0006356453
PIGB,0.0006219367
TTL,0.0006127373
GANC,0.00061199017
AC092683.1,0.0006107131
DMKN,0.0006063764
GP1BA,0.0006034443
FRS3,0.00060210656
FAM185A,0.00060199207
SPNS2,0.0006003355
ZHX3,0.0005973172
TMEM63B,0.00059614144
COL15A1,0.0005952588
PRKAR1B,0.0005952376
PEX11A,0.0005905423
XACT,0.0005858658
NAT1,0.0005854765
TLR4,0.00058420375
ZNF813,0.0005822709
HPCAL1,0.0005752539
TPK1,0.0005728502
AL080317.1,0.00057026726
AC099343.3,0.0005690173
SCML2,0.0005661523
NT5DC3,0.00056304183
FLNA,0.00055890717
ABHD15,0.000558377
ZNF189,0.0005538129
CDK17,0.00055272086
PIP4K2B,0.00054977415
VPS13B,0.0005490117
EPM2A,0.00054886495
OSBP2,0.00054824166
MTMR1,0.00054283044
FBXW7,0.0005405613
BCL6,0.000538072
AC083799.1,0.0005372129
MRM1,0.0005356932
TRMT44,0.0005335955
CRYZ,0.0005269039
AREG,0.0005268602
KIAA2013,0.00052670384
RNASE4,0.00052664994
NINJ1,0.0005219935
MAML1,0.00052084355
LINC02019,0.00051715056
NFKBIB,0.00051678176
UBL7,0.00051462604
MFSD9,0.00051152194
EPS8L2,0.0005082199
CD69,0.00050760224
EEPD1,0.0005067832
ZNF404,0.0005049621
ZNF264,0.0005027357
CDC27,0.0004997467
COMMD2,0.0004944496
MOB3C,0.0004935377
RSPH1,0.00049223047
PEAR1,0.0004919833
KCTD15,0.0004889167
HYOU1,0.0004888427
AP001062.1,0.00048834784
CCDC152,0.00048633383
NECAB3,0.00048505102
AL592435.1,0.0004836157
AC096861.2,0.0004816936
SLC25A25-AS1,0.00047715934
PPOX,0.00047313378
NAA60,0.00047295625
FAM227A,0.000470755
APOOL,0.0004701137
HGH1,0.00046595262
CMC4,0.00046588064
LRRC75B,0.0004633612
TPRN,0.0004605386
NAGPA,0.00046036404
ITPRIPL1,0.00046018264
ZBTB46,0.0004601572
XRCC1,0.00045917855
AL590652.1,0.00045885352
TMC3-AS1,0.00045626974
ACAP1,0.00045524776
RAMP2,0.00045462255
TMCO4,0.00045067177
INTS4,0.00044943474
FAM171A1,0.0004491879
SPX,0.00044700044
AC092828.1,0.00044131596
TAZ,0.0004411923
PPFIA3,0.0004405776
CLCN4,0.00043961062
ALKBH1,0.0004351098
ZNF830,0.00043388104
AP001462.1,0.0004323739
AC015912.3,0.000427712
ZMYND19,0.0004276331
DEPDC7,0.00042658937
MYPOP,0.00042648168
ZNF35,0.00042642903
NEIL2,0.00042493604
MYEF2,0.0004242067
GK5,0.00042396493
ZNF224,0.0004238342
CES3,0.0004236488
COQ8B,0.00042342764
AC244090.1,0.0004221749
C1orf54,0.0004216902
TMEM53,0.00042152216
RASSF5,0.00042107468
ZNF337,0.00042094893
UBE3B,0.00041996114
AEBP2,0.00041959033
PRAM1,0.00041955127
AC144521.1,0.00041908646
PKN3,0.00041896122
CTC1,0.00041441122
HIST1H2BF,0.00041433537
SMG5,0.00041425787
SLC25A46,0.00040848367
NOL12,0.00040475518
GPHN,0.00040252542
CACNA1C,0.00040237463
DLG5,0.00040151906
PEX16,0.0004013191
PXDN,0.00040006576
EDRF1,0.0003986441
HIST1H2BN,0.00039844407
ZNF319,0.00039750585
CALHM2,0.0003972128
ZKSCAN8,0.00039556468
CLSTN3,0.00039523735
NOG,0.00039428202
RASA1,0.00039422643
ARHGAP21,0.00039045277
CCDC102A,0.00039000044
GTPBP8,0.00038946842
PLCE1,0.00038891463
DST,0.0003878529
EEF1A1,0.00038778078
MECP2,0.00038719396
UCHL1,0.0003855463
KPNA1,0.0003841831
TRMT2A,0.00038304168
TBC1D24,0.00038165922
ZDHHC17,0.00038037903
RCHY1,0.0003790498
PMAIP1,0.00037859028
ZNF776,0.00037754074
GNPDA1,0.00037573304
PMM1,0.00037488685
ZNF346,0.0003737194
C4orf46,0.00037366134
LRIG2,0.00037287205
SLC16A3,0.00037270124
NRSN2,0.00037005224
ST7-AS1,0.00036943748
AC040970.1,0.00036903212
ZBTB14,0.0003679335
GALC,0.0003675506
WASHC5,0.00036675166
LRRIQ3,0.0003642446
SPRYD4,0.00036351837
CEL,0.00036246714
STAM-AS1,0.0003614169
AC073611.1,0.00036029398
HLTF,0.00036014212
AC006333.2,0.0003596129
HOMER3,0.00035660906
ITPK1,0.00035606185
ARHGEF39,0.00035453594
KANTR,0.00035435255
DECR2,0.00035403078
ZBTB2,0.0003535474
SLC50A1,0.00035337982
ATP5PO,0.0003532259
UPF1,0.0003530679
GIN1,0.00035179954
MRPL39,0.00035169077
ZNF74,0.00035147442
SLC25A39,0.00035012557
ENTPD5,0.0003500959
PRPF38A,0.0003496685
SQOR,0.00034904163
TM7SF2,0.00034759645
STK36,0.00034717107
INTS11,0.00034687566
POMZP3,0.0003462717
POLG2,0.00034474046
CCDC157,0.00034304394
VPS36,0.00034300302
CALCOCO2,0.00034263378
PRRG1,0.00034241466
CLCF1,0.0003419288
AC097468.3,0.00034137757
LRP5L,0.00033977153
IMP4,0.00033888206
ZNF414,0.00033878756
ALG8,0.00033808293
C3orf62,0.00033795353
ZC3HC1,0.00033783112
NMRAL1,0.00033762454
CD36,0.00033734058
MARS,0.00033715452
KDM8,0.00033666258
CLK4,0.0003349985
ZNF280D,0.00033479295
ANAPC13,0.00033468945
HELZ,0.00033431203
SNRNP35,0.00033413855
FAM126A,0.0003338007
KCMF1,0.00033251382
HGD,0.00033207797
AL451085.2,0.00033151882
B3GALNT1,0.00033065243
DOCK10,0.0003297141
PRUNE1,0.00032839028
SFXN3,0.00032764845
MAGEH1,0.00032763794
SAYSD1,0.0003265031
DGKD,0.000326491
ZCCHC14,0.00032621852
ZNF394,0.00032585757
KIAA1958,0.00032583
ANKRD16,0.00032565763
BICD2,0.00032535163
BEST3,0.00032404656
DPY19L1,0.00032389688
AC007325.4,0.00032356963
ETV4,0.000323495
ORAI3,0.0003234739
MROH6,0.00032258252
AC021016.3,0.00032182437
ZFYVE21,0.00032158347
ZNF292,0.00032036248
NPAS1,0.00032015948
ZNF519,0.0003198659
PRPS2,0.00031945543
STARD7,0.0003184384
HMGCL,0.0003178501
TOLLIP,0.00031716033
NQO1,0.0003170794
TBCE,0.00031694543
ELMOD3,0.00031673894
AL356481.1,0.00031643454
KIT,0.00031597225
FAM98C,0.00031562906
BORCS5,0.00031547857
TUBG2,0.00031476465
AP001347.1,0.00031417538
BAG6,0.00031367174
KLF10,0.00031356708
FOXM1,0.0003130584
TMEM147-AS1,0.00031238436
GAB1,0.00031226277
KLHDC8B,0.00031194955
HEXD-IT1,0.00031182182
EEFSEC,0.00030941985
OR6A2,0.00030919738
AC026725.1,0.0003087848
NPTN,0.00030861443
FAM189B,0.00030799783
EMC10,0.00030729547
DEGS1,0.00030721072
NAMPT,0.00030679378
L3MBTL4,0.00030620064
ZSCAN25,0.00030616915
BAZ2A,0.00030573
TRPC1,0.00030487718
LCOR,0.00030429463
KHDRBS3,0.00030418276
IDNK,0.00030292786
PDLIM1,0.0003028487
ARHGAP31,0.00030222646
SMAD5,0.00030210245
EFNA4,0.00030150864
FAM72B,0.00030132674
CCNA1,0.00030127782
MAST3,0.00030125486
AC021086.1,0.00030004923
ZNF322,0.00029933834
SRGAP2,0.00029907085
ROM1,0.00029845594
MED11,0.00029832058
USP12,0.0002978105
ZNF274,0.00029714892
PPP2R3A,0.00029647973
PPARGC1B,0.00029647246
DIRAS1,0.00029611003
TRIOBP,0.0002958105
CPA3,0.00029563482
SLC43A2,0.00029525414
UGGT1,0.00029459113
TSPAN7,0.00029442433
C19orf81,0.00029416542
CAMSAP1,0.00029409613
INO80,0.0002936001
RGL4,0.0002934661
F12,0.00029283314
CPEB4,0.0002927154
PPP1R14A,0.00029211017
IFT22,0.00029210382
LINC01094,0.00029110376
SYNJ1,0.00029054744
SNX13,0.00029012817
LINC01602,0.0002899834
